Sample Index,RL Matches,BLAST Matches,RL Time(s),BLAST Time(s)
1,1258,1339,3.54418420791626,0.11
2,1257,1324,3.60077595710754,0.07
3,1296,1341,3.48492956161499,0.06
4,1320,1366,3.47839713096619,0.07
5,1258,1340,3.53377985954285,0.07
6,1270,1339,3.50666642189026,0.07
7,1295,1346,3.57598733901978,0.07
8,1252,1351,3.57874202728271,0.07
9,1276,1361,3.49423766136169,0.07
10,1281,1339,3.55108261108398,0.06
11,1269,1351,3.51276636123657,0.07
12,1280,1358,3.52555370330811,0.06
13,847,1341,3.74913358688354,0.05
14,1295,1361,3.47445750236511,0.06
15,1303,1359,3.50787377357483,0.07
16,1272,1344,3.53415870666504,0.06
17,1269,1340,3.52029299736023,0.06
18,1276,1338,3.50254034996033,0.06
19,1276,1349,3.51406574249268,0.07
20,1248,1331,3.49922227859497,0.06
21,1289,1343,3.52226066589355,0.08
22,1281,1349,3.55703115463257,0.06
23,1286,1349,3.57341241836548,0.05
24,1260,1325,3.57215332984924,0.07
25,1269,1339,3.53149437904358,0.06
26,1291,1333,3.50034046173096,0.07
27,1262,1345,3.54228758811951,0.07
28,1262,1326,3.48639249801636,0.07
29,1290,1356,3.5307502746582,0.08
30,1248,1325,3.53953719139099,0.07
31,1290,1352,3.55000877380371,0.07
32,1302,1347,3.51642036437988,0.07
33,1274,1317,3.48872995376587,0.07
34,1253,1331,3.49919509887695,0.07
35,1121,1318,3.69802474975586,0.06
36,1261,1328,3.50996851921082,0.06
37,1265,1349,3.48252487182617,0.07
38,1286,1352,3.50718092918396,0.07
39,1298,1357,3.51559686660767,0.08
40,1277,1336,3.50183057785034,0.07
41,1137,1336,3.58063387870789,0.06
42,1256,1338,3.56067538261414,0.07
43,1269,1343,3.51966071128845,0.07
44,1275,1343,3.51637935638428,0.07
45,1201,1346,3.6180899143219,0.06
46,1267,1346,3.50118899345398,0.06
47,1069,1337,3.68759274482727,0.06
48,1295,1355,3.50720453262329,0.07
49,1275,1335,3.50666236877441,0.05
50,1273,1347,3.56149959564209,0.07
51,1302,1350,3.54933571815491,0.07
52,1245,1324,3.58097290992737,0.07
53,1255,1337,3.58820986747742,0.06
54,1310,1362,3.47993969917297,0.06
55,1283,1326,3.48332786560059,0.07
56,1269,1350,3.56071352958679,0.06
57,1245,1311,3.5262143611908,0.07
58,1307,1360,3.50082993507385,0.07
59,1271,1339,3.52100515365601,0.07
60,1296,1353,3.51902103424072,0.07
61,1250,1326,3.5334804058075,0.06
62,1264,1338,3.60270595550537,0.07
63,1281,1339,3.49330115318298,0.07
64,1259,1319,3.52175498008728,0.06
65,1277,1338,3.44241166114807,0.06
66,1306,1369,3.49554228782654,0.07
67,1295,1355,3.47698450088501,0.07
68,1234,1314,3.58199119567871,0.07
69,1286,1354,3.49899339675903,0.07
70,1267,1341,3.51310014724731,0.07
71,1311,1364,3.43631958961487,0.07
72,1275,1341,3.57177948951721,0.07
73,1308,1360,3.55110836029053,0.06
74,1270,1348,3.52481985092163,0.06
75,1237,1333,3.56262564659119,0.07
76,1247,1332,3.51355218887329,0.06
77,895,1331,3.88578653335571,0.06
78,1272,1350,3.53605604171753,0.07
79,1284,1342,3.56960916519165,0.06
80,1276,1342,3.52034687995911,0.07
81,1272,1340,3.58670496940613,0.07
82,1228,1329,3.63757658004761,0.07
83,1278,1340,3.5124523639679,0.07
84,1239,1338,3.56391620635986,0.06
85,1306,1354,3.55644726753235,0.06
86,671,1344,3.92726540565491,0.07
87,1278,1341,3.53399729728699,0.07
88,683,1343,3.99273824691772,0.07
89,1248,1326,3.5444974899292,0.08
90,1273,1325,3.5363495349884,0.07
91,1297,1365,3.59597134590149,0.07
92,1270,1339,3.573561668396,0.06
93,1064,1348,3.67136573791504,0.07
94,1262,1331,3.57357811927795,0.06
95,1278,1334,3.53606414794922,0.07
96,1277,1355,3.56931376457214,0.06
97,1265,1338,3.5663321018219,0.07
98,1269,1335,3.54205179214478,0.07
99,1280,1351,3.54173016548157,0.06
100,1226,1318,3.44616007804871,0.07
,,,,
AVG,1246.21,1341.63,3.55023489713669,0.0669
